CBSA,CBSA Title,MSA_central_outlying,Year,NAME,zip_code,total_population,median_age_all,median_age_white,median_age_black,avg_hhd_sz_all,avg_hhd_sz_ownocc,avg_hhd_sz_renter,median_hhd_inc_all,median_hhd_inc_white,median_hhd_inc_black,median_hhd_inc_hisp,median_gross_rent,med_gr_rent_pct_hhd_inc,house_value_q1,house_value_median,house_value_q3,race_pct_white,race_pct_black,race_pct_amerind_aknat,race_pct_asian,race_pct_pacisld,race_pct_other,race_pct_twoplus,ethnicity_pct_hisp,geomob_same_house_1yr_all,geomob_same_house_1yr_white,geomob_same_house_1yr_black,geomob_moved_in_county_1yr_all,geomob_moved_in_county_1yr_white,geomob_moved_in_county_1yr_black,geomob_moved_diff_state_1yr_all,geomob_moved_diff_state_1yr_white,geomob_moved_diff_state_1yr_black,occupied_housing_pct_pop,occupied_owner_pct_pop,occupied_renter_pct_pop,hhd_pct_no_vehicle,hhd_4plus_no_vehicle,houseburden_over30pct_inc_renters,houseburden_over30pct_inc_own_mrtg,houseburden_over30pct_inc_own_nomrtg,houseburden_over30pct_inc_all,edu_pop_no_hs_diploma,edu_pop_bach_degree_plus,edu_pop_grad_degree_plus,hhd_comp_pct_married,hhd_comp_pct_married_chldrn,hhd_comp_pct_sgl_prnt,pop_pct_65over,pop_below_poverty_all,pop_below_poverty_white,pop_below_poverty_black,pop_over65_live_alone,pop_pct_disability,hhd_pct_food_assist,hhd_chld_pct_food_assist,hhd_sglprt_pct_food_assist,pop_pct_medicaid,pop_pct_no_hltinsur,supermarkets,ConvenienceStore,AlcoholStore,PhysicianOffice,MentalHlthSpecialist,MentalHlthPractice,ChildcareFacility,fast_food,BINGE,BPHIGH,BPMED,CHECKUP,COREM,COREW,CSMOKING,DENTAL,DEPRESSION,DIABETES,GHLTH,LPA,MHLTH,OBESITY,PHLTH,SLEEP,NatWalkInd_zip,calc_mhv_to_mhi_all,calc_mhv_to_mhi_white,calc_mhv_to_mhi_black,calc_mhv_to_mhi_hisp,calc_houseburden_renter_salary_need,calc_houseburden_renter_salary_gap_white,calc_houseburden_renter_salary_gap_black,flag_vuln_BDC_rpt,BP_rank,flag_bp_group,median_hhd_inc_white_PctChg,median_hhd_inc_black_PctChg,median_gross_rent_PctChg,vcnthouse_value_median_PctChg,houseburden_over30pct_inc_renters_Chg,houseburden_over30pct_inc_all_Chg,pop_below_poverty_all_Chg,pop_below_poverty_white_Chg,pop_below_poverty_black_Chg,calc_mhv_to_mhi_all_Chg,calc_mhv_to_mhi_white_Chg,calc_mhv_to_mhi_black_Chg,calc_houseburden_renter_salary_need_PctChg,tbl_datetime
99999,,Outlying,2015,ZCTA5 37326,37326,395,64.7,67.3,,1.93,2.17,1.74,21250,20208,,,493,32,56600,75000,95800,0.926582278,0.015189873,0,0.058227848,0,0,0,0.005063291,0.745547074,0.741758242,0,0.066157761,0.054945055,1,0.1043257,0.112637363,0,0.713924051,0.507092199,0.492907801,0.184931507,0,0.475,0.379310345,0.189189189,0.383561644,0.337243402,0.076246334,0.026392962,0.438356164,0.136363636,0.090909091,0.496202532,0.25177305,0.274131274,,0.45,0.24822695,0.150684932,0.034246575,0.02739726,0.138297872,0.113475177,,,,,,,,,,,,,,,,,,,,,,,,,,3.529411765,3.711401425,,,19720,488,,,,,,,,,,,,,,,,,,12/5/22 9:15
99999,,Outlying,2020,ZCTA5 37326,37326,547,57.2,57.2,,1.74,2.39,1.35,,,,,479,51,93800,158000,189400,0.970749543,0.012797075,0,0,0,0,0.016453382,0.009140768,0.711926606,0.716446125,1,0.095412844,0.098298677,0,0.174311927,0.166351607,0,0.822669104,0.515555556,0.484444444,0.329457364,0,0.782608696,0.102941176,0.275862069,0.546511628,0.139130435,0.067391304,0.030434783,0.348837209,0.085271318,0.034883721,0.26142596,0.402222222,0.394557823,,0.368421053,0.308888889,0.213178295,0.027131783,0.003875969,0.324444444,0.264444444,,,,,,,,,0.093,0.523,0.865,0.815,0.351,0.25,0.203,0.502,0.243,0.186,0.246,0.344,0.149,0.356,0.166,0.333,0,,,,,19160,,,0,0.989516129,3_High,,,-0.028397566,1.106666667,0.307608696,0.162949984,0.150449173,0.120426549,,,,,-0.028397566,12/5/22 9:15
16860,"Chattanooga, TN-GA",Outlying,2015,ZCTA5 37327,37327,12117,41.5,41.9,69.1,2.56,2.67,2.27,46408,46964,,,570,28.7,74500,132200,209000,0.906825122,0.002558389,0.009573327,0,0,0.004704135,0.076339028,0.039861352,0.896387753,0.889021919,0.741935484,0.027613248,0.0275373,0.258064516,0.014515725,0.016025051,0,0.981761162,0.74731002,0.25268998,0.078941708,0.037585421,0.409674981,0.301143583,0.098744292,0.255753926,0.193028531,0.127253193,0.050734153,0.551301355,0.2781477,0.128934625,0.18989849,0.161070437,0.153596889,0,0.220767494,0.23470074,0.222413422,0.09507421,0.049042805,0.228564223,0.101967048,,,,,,,,,,,,,,,,,,,,,,,,,,2.848646785,2.814922068,,,22800,24164,,,,,,,,,,,,,,,,,,12/5/22 9:15
16860,"Chattanooga, TN-GA",Outlying,2020,ZCTA5 37327,37327,11569,44.2,44.4,56.2,2.61,2.61,2.61,44743,44926,,,739,26.1,84800,151900,252700,0.971907684,0.005532025,0.000345752,0,0,0.001123693,0.021090846,0.040798686,0.908663064,0.909767692,0.921875,0.053948056,0.052650462,0.078125,0.01490326,0.014440757,0,0.979859971,0.751499647,0.248500353,0.051612903,0.017751479,0.373493976,0.264452645,0.088073394,0.225115207,0.173577284,0.134370916,0.052512772,0.571889401,0.162672811,0.073041475,0.210044083,0.191216754,0.194121916,0,0.197960918,0.232798165,0.205069124,0.113364055,0.060599078,0.275052929,0.12111856,,,,6,,,,9,0.138,0.397,0.776,0.747,0.359,0.318,0.26,0.514,0.277,0.134,0.2,0.286,0.178,0.387,0.137,0.348,5.762978696,3.394944461,3.381115612,,,29560,15366,,0,0.438709677,2_Mod,-0.043394941,,0.296491228,0.149016641,-0.036181005,-0.030638718,0.030146317,0.040525027,0,0.546297676,0.566193544,,0.296491228,12/5/22 9:15
99999,,Outlying,2015,ZCTA5 37328,37328,1068,52,51.5,,2.24,2.33,2.03,24931,27768,,,574,33.7,65000,95100,172300,0.959737828,0,0,0,0,0,0.040262172,0.004681648,0.91011236,0.927804878,,0.036516854,0.03804878,,0.032771536,0.034146341,,1,0.712546816,0.287453184,0.201257862,0,0.774834437,0.41025641,0.25,0.442348008,0.237426901,0.106432749,0.032748538,0.459119497,0.15625,0.167613636,0.176966292,0.179775281,0.15804878,,0.227513228,0.33988764,0.146750524,0.064989518,0.037735849,0.162921348,0.169475655,,,,,,,,,,,,,,,,,,,,,,,,,,3.814528098,3.424805532,,,22960,4808,,,,,,,,,,,,,,,,,,12/5/22 9:15
99999,,Outlying,2020,ZCTA5 37328,37328,1408,49.5,49.5,,2.3,2.08,3.61,38894,38558,,,636,17.7,49300,113500,211600,0.995028409,0,0,0,0,0,0.004971591,0,0.950994318,0.950749465,,0.042613636,0.042826552,,0,0,,1,0.774147727,0.225852273,0,0,0.284090909,0.09047619,0.028753994,0.086743044,0.321153846,0.146153846,0.045192308,0.535188216,0.073649755,0.026186579,0.283380682,0.165482955,0.161313348,,0.273182957,0.302725968,0.111292962,0.04091653,0.04091653,0.272596844,0.048063128,,,,,,,,,0.141,0.393,0.758,0.739,0.354,0.306,0.274,0.5,0.282,0.133,0.209,0.301,0.183,0.389,0.14,0.353,2.651300257,2.918187895,2.943617408,,,25440,13118,,0,0.411290323,2_Mod,0.388576779,,0.108013937,0.193480547,-0.490743528,-0.355604964,-0.014292326,0.003264567,,-0.896340202,-0.481188124,,0.108013937,12/5/22 9:15
11940,"Athens, TN",Central,2015,ZCTA5 37329,37329,5828,47.8,48.4,24.7,2.6,2.57,2.73,32542,32148,,,606,32.3,68600,104500,188600,0.954873027,0.019560741,0.003431709,0,0,0.002916953,0.01921757,0.007892931,0.911657083,0.911231884,0.903508772,0.04722077,0.047101449,0.096491228,0.015333682,0.015942029,0,1,0.813486616,0.186513384,0.051785714,0,0.454773869,0.306468717,0.117908788,0.257142857,0.257062147,0.10240113,0.042372881,0.614285714,0.235399285,0.083432658,0.242107069,0.199553878,0.206648697,0,0.235294118,0.20024022,0.170089286,0.104910714,0.046428571,0.228037062,0.10672615,,,,,,,,,,,,,,,,,,,,,,,,,,3.211234712,3.250591017,,,24240,7908,,,,,,,,,,,,,,,,,,12/5/22 9:15
11940,"Athens, TN",Central,2020,ZCTA5 37329,37329,5877,44,44.5,,2.39,2.37,2.48,46071,46582,,,578,22.1,74200,119800,197700,0.986387613,0.000510465,0,0.002212013,0.002041858,0.002382168,0.006465884,0.025863536,0.888888889,0.887409201,1,0.043352108,0.043929436,0,0.037378392,0.037876167,0,1,0.831887017,0.168112983,0.05762987,0.07195572,0.201005025,0.12246866,0.038872692,0.100243506,0.207565012,0.114184397,0.03144208,0.455357143,0.162743506,0.058847403,0.216777267,0.16922552,0.168193604,0,0.29277865,0.248596223,0.170048701,0.07711039,0.056006494,0.2354943,0.132890931,,,,,,,,,0.133,0.431,0.792,0.75,0.333,0.294,0.277,0.517,0.27,0.148,0.21,0.303,0.179,0.366,0.145,0.371,4.770065783,2.600334267,2.571808853,,,23120,23462,,0,0.768548387,2_Mod,0.44898594,,-0.04620462,0.146411483,-0.253768844,-0.156899351,-0.030328358,-0.038455093,0,-0.610900445,-0.678782163,,-0.04620462,12/5/22 9:15
46100,"Tullahoma-Manchester, TN",Outlying,2015,ZCTA5 37330,37330,7745,38.9,39.3,51.3,2.58,2.54,2.77,45252,45305,33000,,692,26.5,63900,95800,142200,0.968495804,0.005551969,0.004777276,0.001549387,0,0.001032924,0.01859264,0.007359587,0.874267864,0.882645517,0.581395349,0.082650007,0.081328136,0,0.015749056,0.011560694,0,1,0.80813428,0.19186572,0.047619048,0,0.290502793,0.271126761,0.111854685,0.219114219,0.132905418,0.133660563,0.044553521,0.571428571,0.30994152,0.068376068,0.14331827,0.139429313,0.138494508,0,0.212612613,0.171465462,0.205128205,0.121545122,0.035964036,0.212265978,0.118657198,,,,,,,,,,,,,,,,,,,,,,,,,,2.117033501,2.114556892,2.903030303,,27680,17625,5320,,,,,,,,,,,,,,,,,12/5/22 9:15
46100,"Tullahoma-Manchester, TN",Outlying,2020,ZCTA5 37330,37330,6639,48.9,49.6,61.1,2.23,2.2,2.34,48359,48673,23919,,954,22.4,93500,130000,174100,0.931164332,0.022443139,0,0.002861877,0.003615002,0.003464377,0.036451273,0,0.933566434,0.940888308,0.678082192,0.048038918,0.039353364,0.321917808,0,0,0,1,0.813074258,0.186925742,0.018791946,0.046052632,0.20527307,0.376218324,0.11978022,0.267449664,0.089451811,0.168216901,0.057391649,0.525167785,0.09261745,0.079194631,0.22382889,0.165784299,0.168183295,0.194630872,0.235531629,0.252146408,0.094630872,0.053355705,0.038255034,0.180298238,0.07245067,,,,,,,,,0.14,0.407,0.785,0.761,0.396,0.354,0.236,0.571,0.267,0.127,0.173,0.255,0.167,0.394,0.124,0.346,4.686736123,2.688227631,2.670885296,5.435009825,,38160,10513,-14241,0,0.531451613,2_Mod,0.074340581,-0.275181818,0.378612717,0.356993737,-0.085229724,0.048335445,0.026354986,0.029688787,0.194630872,0.57119413,0.556328404,2.531979522,0.378612717,12/5/22 9:15
